year;dow;date;days;dateEnd;woj;newc;newd
2020;23;2020-06-08;7;2020-06-14;opolskie;67;0
2020;23;2020-06-08;7;2020-06-14;podkarpackie;67;3
2020;23;2020-06-08;7;2020-06-14;podlaskie;90;0
2020;23;2020-06-08;7;2020-06-14;pomorskie;19;1
2020;23;2020-06-08;7;2020-06-14;warmińsko-mazurskie;6;0
2020;23;2020-06-08;7;2020-06-14;wielkopolskie;110;8
2020;23;2020-06-08;7;2020-06-14;zachodniopomorskie;27;0
2020;23;2020-06-08;7;2020-06-14;łódzkie;399;28
2020;23;2020-06-08;7;2020-06-14;śląskie;1203;24
2020;23;2020-06-08;7;2020-06-14;świętokrzyskie;96;3
2020;24;2020-06-15;7;2020-06-21;Polska;2539;109
2020;24;2020-06-15;7;2020-06-21;dolnośląskie;86;10
2020;24;2020-06-15;7;2020-06-21;kujawsko-pomorskie;26;1
2020;24;2020-06-15;7;2020-06-21;lubelskie;49;1
2020;24;2020-06-15;7;2020-06-21;lubuskie;21;0
2020;24;2020-06-15;7;2020-06-21;mazowieckie;368;16
2020;24;2020-06-15;7;2020-06-21;małopolskie;108;4
2020;24;2020-06-15;7;2020-06-21;opolskie;57;1
2020;24;2020-06-15;7;2020-06-21;podkarpackie;91;7
2020;24;2020-06-15;7;2020-06-21;podlaskie;95;1
2020;24;2020-06-15;7;2020-06-21;pomorskie;27;1
2020;24;2020-06-15;7;2020-06-21;warmińsko-mazurskie;23;0
2020;24;2020-06-15;7;2020-06-21;wielkopolskie;72;5
2020;24;2020-06-15;7;2020-06-21;zachodniopomorskie;16;1
2020;24;2020-06-15;7;2020-06-21;łódzkie;424;33
2020;24;2020-06-15;7;2020-06-21;śląskie;983;22
2020;24;2020-06-15;7;2020-06-21;świętokrzyskie;93;6
2020;25;2020-06-22;7;2020-06-28;Polska;1976;82
2020;25;2020-06-22;7;2020-06-28;dolnośląskie;57;4
2020;25;2020-06-22;7;2020-06-28;kujawsko-pomorskie;17;-1
2020;25;2020-06-22;7;2020-06-28;lubelskie;50;0
2020;25;2020-06-22;7;2020-06-28;lubuskie;-4;0
2020;25;2020-06-22;7;2020-06-28;mazowieckie;249;12
2020;25;2020-06-22;7;2020-06-28;małopolskie;69;0
2020;25;2020-06-22;7;2020-06-28;opolskie;80;1
2020;25;2020-06-22;7;2020-06-28;podkarpackie;86;3
2020;25;2020-06-22;7;2020-06-28;podlaskie;103;0
2020;25;2020-06-22;7;2020-06-28;pomorskie;42;0
2020;25;2020-06-22;7;2020-06-28;warmińsko-mazurskie;31;0
