"","CodeM49","Area","Item","Element","YearCode","Unit","Value","X"
"129","064","Bhutan","Animal Products","FoodS (kcal/c/d)",2020,"kcal/c/d",426,NA
"130","408","Democratic People's Republic of Korea","Population","TotalPop",2010,"1000 persons",24549,NA
"131","158","China  Taiwan Province of","Population","TotalPop",2020,"1000 persons",23816.78,NA
"132","024","Angola","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",46.8,NA
"133","056","Belgium","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3815,NA
"134","132","Cabo Verde","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2565,NA
"135","180","Democratic Republic of the Congo","Population","TotalPop",2010,"1000 persons",64563.85,NA
"136","028","Antigua and Barbuda","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",76.44,NA
"137","084","Belize","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2768,NA
"138","170","Colombia","Population","TotalPop",2020,"1000 persons",50882.89,NA
"139","116","Cambodia","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2539,NA
"140","204","Benin","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2848,NA
"141","032","Argentina","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",100.73,NA
"142","174","Comoros","Population","TotalPop",2020,"1000 persons",869.6,NA
"143","208","Denmark","Population","TotalPop",2010,"1000 persons",5555,NA
"144","051","Armenia","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",94.33,NA
"145","262","Djibouti","Population","TotalPop",2010,"1000 persons",840,NA
"146","120","Cameroon","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2694,NA
"147","178","Congo","Population","TotalPop",2020,"1000 persons",5518.09,NA
"148","064","Bhutan","Animal Products","ProtSQ (g/c/d)",2020,"g/c/d",31.46,NA
"149","124","Canada","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3459,NA
"150","068","Bolivia (Plurinational State of)","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2485,NA
"151","036","Australia","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",110.87,NA
"152","188","Costa Rica","Population","TotalPop",2020,"1000 persons",5094.12,NA
"153","212","Dominica","Population","TotalPop",2010,"1000 persons",71,NA
"154","040","Austria","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",106.24,NA
"155","070","Bosnia and Herzegovina","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3348,NA
"156","140","Central African Republic","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2120,NA
"157","214","Dominican Republic","Population","TotalPop",2010,"1000 persons",9695,NA
"158","384","C\xF4te d'Ivoire","Population","TotalPop",2020,"1000 persons",26378.27,NA
"159","191","Croatia","Population","TotalPop",2020,"1000 persons",4105.27,NA
"160","218","Ecuador","Population","TotalPop",2010,"1000 persons",15011,NA
"161","072","Botswana","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2595,NA
"162","148","Chad","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2289,NA
"163","031","Azerbaijan","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",91.09,NA
"164","076","Brazil","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3343,NA
"165","818","Egypt","Population","TotalPop",2010,"1000 persons",82761,NA
"166","192","Cuba","Population","TotalPop",2020,"1000 persons",11326.62,NA
"167","044","Bahamas","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",88.87,NA
"168","152","Chile","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2958,NA
"169","004","Afghanistan","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",56.64,NA
"170","100","Bulgaria","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2894,NA
"171","196","Cyprus","Population","TotalPop",2020,"1000 persons",1207.36,NA
"172","222","El Salvador","Population","TotalPop",2010,"1000 persons",6184,NA
"173","159","China","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3098,NA
"174","008","Albania","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",112.58,NA
"175","050","Bangladesh","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",54.68,NA
"176","012","Algeria","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",89.57,NA
"177","233","Estonia","Population","TotalPop",2010,"1000 persons",1299,NA
"178","203","Czechia","Population","TotalPop",2020,"1000 persons",10708.98,NA
"179","854","Burkina Faso","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2743,NA
"180","344","China  Hong Kong SAR","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3269,NA
"181","446","China  Macao SAR","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3076,NA
"182","408","Democratic People's Republic of Korea","Population","TotalPop",2020,"1000 persons",25778.82,NA
"183","748","Eswatini","Population","TotalPop",2010,"1000 persons",1065,NA
"184","024","Angola","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",47.84,NA
"185","052","Barbados","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",87.26,NA
"186","132","Cabo Verde","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2613,NA
"187","231","Ethiopia","Population","TotalPop",2010,"1000 persons",87640,NA
"188","180","Democratic Republic of the Congo","Population","TotalPop",2020,"1000 persons",89561.4,NA
"189","028","Antigua and Barbuda","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",82.04,NA
"190","112","Belarus","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",92.34,NA
"191","156","China  mainland","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3100,NA
"192","108","Burundi","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",41.1,NA
"193","116","Cambodia","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2770,NA
"194","032","Argentina","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",114.24,NA
"195","242","Fiji","Population","TotalPop",2010,"1000 persons",860,NA
"196","208","Denmark","Population","TotalPop",2020,"1000 persons",5792.2,NA
"197","158","China  Taiwan Province of","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2975,NA
"198","056","Belgium","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",96.93,NA
"199","051","Armenia","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",99.34,NA
"200","262","Djibouti","Population","TotalPop",2020,"1000 persons",988,NA
"201","246","Finland","Population","TotalPop",2010,"1000 persons",5366,NA
"202","120","Cameroon","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2794,NA
"203","084","Belize","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",70.14,NA
"204","170","Colombia","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2708,NA
"205","124","Canada","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3583,NA
"206","204","Benin","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",63.94,NA
"207","036","Australia","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",114.88,NA
"208","250","France","Population","TotalPop",2010,"1000 persons",63231,NA
"209","174","Comoros","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2272,NA
"210","212","Dominica","Population","TotalPop",2020,"1000 persons",71.99,NA
"211","040","Austria","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",106.08,NA
"212","140","Central African Republic","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",1816,NA
"213","258","French Polynesia","Population","TotalPop",2010,"1000 persons",266,NA
"214","214","Dominican Republic","Population","TotalPop",2020,"1000 persons",10847.91,NA
"215","178","Congo","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2035,NA
"216","068","Bolivia (Plurinational State of)","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",66.03,NA
"217","188","Costa Rica","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2845,NA
"218","218","Ecuador","Population","TotalPop",2020,"1000 persons",17643.05,NA
"219","266","Gabon","Population","TotalPop",2010,"1000 persons",1624,NA
"220","148","Chad","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",2247,NA
"221","031","Azerbaijan","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",98.29,NA
"222","070","Bosnia and Herzegovina","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",88.55,NA
"223","818","Egypt","Population","TotalPop",2020,"1000 persons",102334.4,NA
"224","384","C\xF4te d'Ivoire","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2748,NA
"225","270","Gambia","Population","TotalPop",2010,"1000 persons",1793,NA
"226","044","Bahamas","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",77.84,NA
